course_id,title,teacher,subject,description,reviews,grade,platform,is_paid,price,dificulty_level
S20240000021,[2025 수능특강] 정승제의 확률과 통계,정승제,확률과통계,"강좌범위:01 여러가지순열
02 중복조합과 이항정리
03 확률의 뜻과 활용
04 조건부확률
05 이산확률변수의 확률분포
06 연속확률변수의 확률분포
07 통계적 추정
강좌특징:꼼꼼한 강좌
기본에 충실한 강좌
쉽게 설명하는 강좌",47,고3,EBS,False,0,기본
S20250000038,[2026 내신만점 수능특강] 박자영의 확률과 통계,박자영,확률과통계,"학습단계:학교시험대비
수준:기초",10,고3,EBS,False,0,기초
S20240000910,[2026 수능특강] 이하영의 수학Ⅱ - 전 문항,이하영,수학II,"강좌특징:다양한 접근법 제시 강좌
친절한 강좌
깔끔한 판서 강좌
추천대상:이 과목 공부를 아예 처음 시작하는 수강생 강좌
기본 개념을 전체적으로 한 번 정리한 수강생 강좌
개념 학습 다음 단계의 수업이 필요한 수강생 강좌",27,고3,EBS,False,0,기본
S20240000906,[2026 수능특강] 정종영의 수학종합(수학Ⅰ+Ⅱ) - 핵심 요약,정종영,"수학I,수학II","강좌범위:수능특강 수학1 + 수학2 전 문항 풀이!
연계 교재는 이 한 강좌로 All Kill !!
강좌특징:핵심을 확실하게 알려주는 강좌
다양한 접근법 제시 강좌
자료 분석에 집중하는 강좌",767,고3,EBS,False,0,기본
S20250000036,[2026 내신만점 수능특강] 정유빈의 수학종합 (수학Ⅰ+Ⅱ),정유빈,"수학I,수학II","강좌특징:핵심을 확실하게 알려주는 강좌
스토리텔링형 강좌
친절한 강좌
추천대상:기본 개념을 전체적으로 한 번 정리한 수강생 강좌
단기간 수강하고 싶은 수강생(3주 완성,최소시간으로 최대효과) 강좌
방대한 양을 핵심 압축 정리하고 싶은 수강생 강좌",12,고3,EBS,False,0,기초
S20250000037,[2026 내신만점 수능특강] 김민재의 미적분,김민재,미적분,"강좌특징:요점을 확실하게 알려주는 강좌
흐름을 잡는 강좌
전략적으로 접근하는 강좌
추천대상:기본 개념을 전체적으로 한 번 정리한 수강생 강좌
수능+내신 모두 대비하고 싶은 수강생 강좌
방대한 양을 핵심 압축 정리하고 싶은 수강생 강좌",5,고3,EBS,False,0,기초
S20240000916,[2026 수능특강] 안국선의 기하 - 전 문항,안국선,기하,"강좌범위:▣ 강좌범위
- 2015 개정 교육과정 기하
- [2026 수능특강] 기하 개념 정리 및 모든 문항 풀이
- 수능특강을 통해 연습해야하는 필수 요소를 담은 기출문제 풀이

▣ 수강 대상
- 2026 수능 기하를 준비하는 모든 고3·N수생

▣ 강좌의 특징
(1) 수능에 꼭 필요한 개념 정리
- 기하 개념 중 수능에 꼭 필요한 개념만 요약하여 정리
(2) 기출문제와 연계교재를 통해 문항별 핵심 개념 잡기
- 문항별로 자신의 약한 개념을 짚고 넘어갈 수 있도록 문항별 핵심 개념을 정리
(3) 문제를 ‘어떻게’ 푸는가보다 ‘왜’ 그렇게 푸는가를 설명
- 문제 해결 원리를 이해하여 스스로 문제를 해결할 수 있는 힘을 길러주는 강의
(4) 다양한 풀이를 제공
- 다양한 풀이를 통해 문제를 다각도로 접근하는 힘을 기를 수 있는 강의
(5) 50분이 지루할 틈이 없는 강의
- 다양한 동작과 표정, 목소리 톤의 조절 등으로 생동감 넘치는 강의
강좌특징:핵심을 확실하게 알려주는 강좌
다양한 접근법 제시 강좌
재미있는 강좌",43,고3,EBS,False,0,기본
S20240000918,[2026 수능특강] 주혜연의 영어 - 전 문항,주혜연,영어종합,"강좌범위:[2026 수능특강] 영어 -전 문항
강좌특징:꼼꼼한 강좌
친절한 강좌
깔끔한 판서 강좌",1081,고3,EBS,False,0,기본
S20240000919,[2026 수능특강] 원정의의 영어 - 유형별 스피드 독해,원정의,영어종합,"학습단계:개념완성
수준:기본",693,고3,EBS,False,0,기본
S20240000920,[2026 수능특강] 김예령의 영어 - 고난도,김예령,영어종합,"학습단계:개념완성
수준:발전",22,고3,EBS,False,0,발전
S20240000923,[2026 수능특강] 김수연의 영어독해연습 - 전 문항,김수연,영어독해,"강좌범위:⮫풍부한 예시, 쉬운 설명, 완벽한 내용 이해!⮪

✓ 고변별 유형에 대한 자세하고 확실한 분석
✓ 꼼꼼하고 정확한 정석 독해로 수능 + 내신 대비까지
✓ 아무리 어려운 내용이라도 이해할 수 있는 언어로, 재미있게!

""정답의 근거를 바탕으로 한 전략적인 풀이법
& 지문마다 놓쳐서는 안 될 포인트 '쑤인트' 제공""
강좌특징:꼼꼼한 강좌
전략적으로 접근하는 강좌
출제자의 입장에서 접근하는 강좌",152,고3,EBS,False,0,기본
S20240000787,[2026 수능개념] 김수연의 구문에서 독해까지 구독 RUN,김수연,영어종합,"강좌범위:<단 한 권으로 끝내는 영어 개념서, 구문에서 독해까지 구독 RUN>

1. 쉽게 이해할 수 있는 말로 설명된 책
2. 수능 독해에 꼭 필요한 것만 담은 책
3. 배운 것을 실전에 바로 적용할 수 있는 책

☑ PARTⅠ 구문편 ➜ 문장 단위 독해
수능 영어 독해에 꼭 필요한 구문만!

☑ PARTⅡ 구독편 ➜ 문장 간 독해
구문에서 독해로 이어지는 연결고리!

☑ PARTⅢ 독해편 ➜ 지문 독해
실전 독해에 적용해 보기!
강좌특징:길고 복잡한 문장도 자연스럽게 해석 가능",185,고3,EBS,False,0,기본
S20240000924,[2026 수능특강] 정승익의 영어독해연습 - 핵심 지문 연계 포인트,정승익,영어독해,"학습단계:개념완성
수준:기본",95,고3,EBS,False,0,기본
S20240000925,[2026 수능특강] 김보라의 영어독해연습 - 고난도,김보라,영어독해,"학습단계:개념완성
수준:발전",12,고3,EBS,False,0,발전
S20250000039,[2026 내신만점 수능특강] 김현진의 영어,김현진,영어종합,"학습단계:학교시험대비
수준:기초",38,고3,EBS,False,0,기초
S20250000040,[2026 내신만점 수능특강] 박재창의 영어독해,박재창,영어독해,"강좌특징:핵심을 확실하게 알려주는 강좌
깔끔한 정리형 강좌
쉽게 설명하는 강좌
추천대상:변형 문제가 필요한 수강생 강좌
수능+내신 모두 대비하고 싶은 수강생 강좌
방대한 양을 핵심 압축 정리하고 싶은 수강생 강좌",23,고3,EBS,False,0,기초
S20250000001,[2026 수능특강] 이충모의 한국사 - 전 문항,이충모,한국사,"강좌특징:핵심을 확실하게 알려주는 강좌
출제자의 입장에서 접근하는 강좌
재미있는 강좌
추천대상:이 과목 공부를 아예 처음 시작하는 수강생 강좌
평가원 출제경향을 알고 싶은 수강생 강좌
실전력을 키우고 싶은 수강생 강좌",120,고3,EBS,False,0,기본
S20240000926,[2026 수능특강] 김준우의 한국사 - 전 문항,김준우,한국사,"강좌범위:2026학년도 대수능을 보는 모든 수험생들을 위한
수능 한국사 전문가 쭌쌤의 수능 강의~!!!
수능특강 연계 교재 처음부터 끝까지
원하는 만큼 듣고 1등급 받으면 됩니다.
강좌특징:요점을 확실하게 알려주는 강좌
핵심을 확실하게 알려주는 강좌
깔끔한 정리형 강좌",23,고3,EBS,False,0,기본
S20240000927,[2026 수능특강] 류성완의 한국사 - 핵심 요약,류성완,한국사,"학습단계:개념완성
수준:기본",15,고3,EBS,False,0,기본
S20240000791,[2026 수능개념] 김준우의 단 한 권 한국사 [개념편],김준우,한국사,"강좌범위:수능 한국사 전범위
핵심 개념 30개를 단 한권으로 정리한 친절한 교재와 함께 정리합니다.
수능 한국사 1등급을 원하신다면 주저말고 선택하세요~!
강좌특징:핵심을 확실하게 알려주는 강좌
흐름을 잡는 강좌
쉽게 설명하는 강좌",30,고3,EBS,False,0,기본
S20240000835,[2026 수능개념] 김준우의 단 한 권 한국사 [실전편],김준우,한국사,"강좌범위:2023학년도 대학수학능력시험부터 2024학년도 9월 모의평가시험까지
한국사 기출문제 120문항을 담았습니다.
수능 한국사는 기출 문제를 통해서도 충분히 수능을 대비 할 수 있습니다.
문제를 통해 실전을 대비해 보자구요~!
강좌특징:기출 문항 분석을 통한 실전 대비 강좌",4,고3,EBS,False,0,기본
S20240000852,[2026 수능 기출의 미래] 한국사,이충모,한국사,"강좌범위:이 강의. 교재 필요 없는 교재강의입니다.
(*물론 교재가 있으면 더 좋습니다.)

♥ 본격 혼밥용 강의입니다. 혼자 밥먹을때 그냥 틀어놓으세요. ♥
유튜브나 릴스 보는거 죄책감들때 보시면 됩니다.

♥ 한국사 ASMR입니다. 이동중에 그냥 들으셔도 돼요. ♥

그냥 들었을 뿐인데 모의고사에서 정답이 보이고, 3등급이 확보되는 마법을 보여드립니다.
강좌특징:출제자의 입장에서 접근하는 강좌
재미있는 강좌
동기부여가 되는 강좌",10,"고2,고3",EBS,False,0,기본
S20210001278,[고등학생을 위한 多담은 한국사 연표] 완벽정리,김준우,한국사,"강좌특징:자세한 강좌
스토리텔링형 강좌
흐름을 잡는 강좌
추천대상:기본 개념을 전체적으로 한 번 정리한 수강생 강좌
심화 위주 개념까지 전체적으로 한 번 정리한 수강생 강좌
개념 학습 다음 단계의 수업이 필요한 수강생 강좌",15,공통,EBS,False,0,기본
S20250000041,[2026 내신만점 수능특강] 류성완의 한국사,류성완,한국사,"학습단계:학교시험대비
수준:기초",2,고3,EBS,False,0,기초
S20240000928,[2026 수능특강] 강승희의 생활과 윤리 - 전 문항,강승희,생활과 윤리,"강좌범위:[2026 수능특강] 생활과 윤리 - 전 문항 풀이

1. 개념 : 키워드와 논리로 엮는 실전 개념
2. 문풀 : 이해하고 유추하는 문항 분석
3. 깊고 넓고 빠르게. 가장 탄탄하고 효율적인 강의
강좌특징:요점을 확실하게 알려주는 강좌
깔끔한 정리형 강좌
출제자의 입장에서 접근하는 강좌",123,고3,EBS,False,0,기본
S20250000045,[2026 내신만점 수능특강] 권유정의 생활과 윤리,권유정,생활과 윤리,"강좌특징:기본에 충실한 강좌
쉽게 설명하는 강좌
예시로 이해시켜주는 강좌
추천대상:개념 학습이 필요한 수강생 강좌
기본 개념을 전체적으로 한 번 정리한 수강생 강좌
단기간 수강하고 싶은 수강생(3주 완성,최소시간으로 최대효과) 강좌",54,고3,EBS,False,0,기초
S20240000931,[2026 수능특강] 한보라의 윤리와 사상 - 전 문항,한보라,윤리와 사상,"학습단계:개념완성
수준:기본",256,고3,EBS,False,0,기본
S20240000929,[2026 수능특강] 이호성의 생활과 윤리 - 고난도 핵심 요약,이호성,생활과 윤리,"강좌특징:꼼꼼한 강좌
핵심을 확실하게 알려주는 강좌
깔끔한 정리형 강좌
추천대상:개념 학습이 필요한 수강생 강좌
기본 개념을 전체적으로 한 번 정리한 수강생 강좌
개념 학습 다음 단계의 수업이 필요한 수강생 강좌",48,고3,EBS,False,0,기본
S20250000048,[2026 내신만점 수능특강] 이호성의 윤리와 사상,이호성,윤리와 사상,"강좌특징:요점을 확실하게 알려주는 강좌
핵심을 확실하게 알려주는 강좌
기본에 충실한 강좌
추천대상:개념 학습이 필요한 수강생 강좌
기본 개념을 전체적으로 한 번 정리한 수강생 강좌
단기간 수강하고 싶은 수강생(3주 완성,최소시간으로 최대효과) 강좌",7,고3,EBS,False,0,기초
S20240000933,[2026 수능특강] 이진웅의 한국지리 - 전 문항,이진웅,한국지리,"학습단계:개념완성
수준:기본",529,고3,EBS,False,0,기본
S20250000050,[2026 내신만점 수능특강] 이종원의 한국지리,이종원,한국지리,"강좌범위:전범위
강좌특징:요점을 확실하게 알려주는 강좌
기본에 충실한 강좌
쉽게 설명하는 강좌",2,고3,EBS,False,0,기초
S20240000938,[2026 수능특강] 정선아의 동아시아사 - 전 문항,정선아,동아시아사,"강좌범위:수능특강 동아시아사는 선사-현대사까지 1단원-10단원 전체 전 영역의 모든 문항을 다 풀어가는 강좌입니다.
연계교재 문항은 다 풀어야 합니다. 문제 풀기에 앞서 연계교재 개념 정리는 어떻게 해야하는지, 연계되는 자료(사료)는 어떻게 자료플러스와 문항에서 다뤄지는지 살펴보고 전 문항을 함께 풉니다.

<2026학년도 수능특강 강의 소개>
1. 대수능에 50퍼센트 연계되는 연계교재 수능특강의 전문항을 풀기!
2. 수능개념 때 개념 강의했으니 개념은 패스?
수능특강 교재에 나온 개념을 수능개념보다 빠르게 정리
동아시아사 완전 노베이스 => 수능개념 처음부터 싹 듣기
동아시아사 수능특강 개념 내용을 듣다가 기초가 부족하다 싶으면 => 수능개념 해당 단원 개념강의만 쏙쏙 듣고 오기
3. 수능특강 단원별 기출된 사건, 인물, 주제만 정해서
완벽한 이해를 돕는 스토리 영상!!!!!이 함께
4. 학습자료실에 가면 한판 필기노트 + 수능특강 개념체크 문제 + 기출문제 문항,해설,분석지까지

완벽한 자료와 분석
어떻게 출제되는지 왜 그게 출제되는지 확인할 수 있습니다.

동아시아사 No.1
강좌특징:핵심을 확실하게 알려주는 강좌
흐름을 잡는 강좌
출제자의 입장에서 접근하는 강좌",20,고3,EBS,False,0,기본
S20250000043,[2026 내신만점 수능특강] 박세훈의 동아시아사,박세훈,동아시아사,"강좌범위:1. 수능 동아시아사 전범위 '문제풀이' 강의입니다.
2. <수능특강 동아시아사> 교재 모든 문항 풀이
3. 내신이든 수능이든 결이 크게 다르지 않습니다.
4. 학교 시험에서도 수능특강 교재의 자료를 활용할 수밖에 없습니다.
5. 즉, 수능특강 교재의 문항을 철저히 분석하면 당연히 내신에서도 좋은 결과가 나올 것입니다.
6. 개념 강의는 <수능특강 동아시아사>에서 해놓았으니 더 자세한 개념 강의가 필요하신 분은 해당 강의를 찾아 듣기를 권장드립니다.
강좌특징:요점을 확실하게 알려주는 강좌
기본에 충실한 강좌
다양한 문제풀이 방식을 알려주는 강좌",4,고3,EBS,False,0,기초
S20250000046,[2026 내신만점 수능특강] 류성완의 세계사,류성완,세계사,"학습단계:학교시험대비
수준:기초",0,고3,EBS,False,0,기초
S20250000047,[2026 내신만점 수능특강] 이윤지의 세계지리,이윤지,세계지리,"강좌범위:2026 수능특강 세계지리 개념 정리편
내신 시험 대비를 위해 수능특강 세계지리 개념을 꼼꼼하게 살펴보는 강의입니다.
강좌특징:꼼꼼한 강좌
요점을 확실하게 알려주는 강좌
핵심을 확실하게 알려주는 강좌",3,고3,EBS,False,0,기초
S20240000794,[2026 수능개념] 박봄의 사회문화 개념홀릭,박봄,사회문화,"학습단계:입문
수준:기본",109,고3,EBS,False,0,기본
S20240000945,[2026 수능특강] 박봄의 사회문화 - 전 문항,박봄,사회문화,"학습단계:개념완성
수준:기본",75,고3,EBS,False,0,기본
S20250000044,[2026 내신만점 수능특강] 권윤복의 사회문화,권윤복,사회문화,"강좌범위:내신만점 수능특강 사회문화의 러키보키, 권윤복입니다 :D
2026 EBS 내신만점 수능특강 사회·문화 강의 활용 방안을 소개합니다!!

01. 부제: 내신=만점

02. 강좌수: 50분×15강

03. 수강 대상
- 내신 사회·문화 선택자
- 수능특강 교재만으로 내신만점에 도전하는 학생
- 수능특강 교재만으로 내신 출제 개념을 요약 및 총정리하고 싶은 학생

04. 만점 TIP: 아래 두 강의를 선행(참고)하여, 내신만점 수업을 들어보세요!!
- 2026 EBS 수능개념 권윤복의 사회·문화 개념을 보는 눈
- 2026 EBS 수능특강 권윤복의 사회·문화 본격 교재 집중 분석

05. 강좌 범위(내신 사회·문화 출제 범위)
- 1단원: 사회·문화 현상의 탐구(사회·문화 현상의 이해, 연구 방법, 자료 수집 방법, 탐구 태도와 연구 윤리)
- 2단원: 개인과 사회 구조(사회적 존재로서의 인간, 사회 집단과 사회 조직, 사회 구조와 일탈 행동)
- 3단원: 문화와 인간생활(문화의 이해, 현대 사회의 문화 양상, 문화 변동의 양상과 대응)
- 4단원: 사회 계층과 불평등(사회 불평등 현상의 이해, 사회 이동과 사회 계층 구조, 다양한 사회 불평등 현상, 사회 복지와 복지 제도)
- 5단원: 현대의 사회 변동(사회 변동과 사회 운동, 현대 사회의 변화와 전 지구적 수준의 문제)

06. 기타
- 수업 자료: 자료실 공유
- 수업 내용에 대한 질문: QnA와 수강후기

자세한 내용은 오리엔테이션(OT)를 통해 안내할게요!!

사회·문화는 러키보키♥
강좌특징:요점을 확실하게 알려주는 강좌
기본에 충실한 강좌
깔끔한 정리형 강좌",5,고3,EBS,False,0,기초
S20240000958,[2026 수능특강] 박소현의 생명과학Ⅰ - 전 문항,박소현,생명과학I,"강좌범위:2015개정 교육과정 생명과학Ⅰ 전 범위
강좌특징:깔끔한 정리형 강좌
다양한 문제풀이 방식을 알려주는 강좌
전략적으로 접근하는 강좌",19,고3,EBS,False,0,기본
S20250000053,[2026 내신만점 수능특강] 조은희의 생명과학Ⅰ,조은희,생명과학I,"학습단계:학교시험대비
수준:기초",2,고3,EBS,False,0,기초
S20240000960,[2026 수능특강] 조은희의 생명과학Ⅰ - 고난도,조은희,생명과학I,"학습단계:개념완성
수준:발전",7,고3,EBS,False,0,발전
S20240000959,[2026 수능특강] 조은희의 생명과학Ⅰ - 핵심 요약,조은희,생명과학I,"학습단계:개념완성
수준:기본",151,고3,EBS,False,0,기본
S20250000054,[2026 내신만점 수능특강] 나빛나의 생명과학Ⅱ,나빛나,생명과학II,"학습단계:학교시험대비
수준:기초",4,고3,EBS,False,0,기초
S20240000953,[2026 수능특강] 박주원의 화학Ⅰ - 전 문항,박주원,화학Ι,"강좌범위:수능 화학1 전범위
연계교재 전문항 풀이
강좌특징:꼼꼼한 강좌
핵심을 확실하게 알려주는 강좌
출제자의 입장에서 접근하는 강좌",99,고3,EBS,False,0,기본
S20250000057,[2026 내신만점 수능특강] 정유니의 화학Ⅰ,정유니,화학Ι,"강좌특징:요점을 확실하게 알려주는 강좌
깔끔한 정리형 강좌
출제자의 입장에서 접근하는 강좌
추천대상:연계 교재를 한 번 정리한 수강생 강좌
수능+내신 모두 대비하고 싶은 수강생 강좌
단기간 수강하고 싶은 수강생(3주 완성,최소시간으로 최대효과) 강좌",2,고3,EBS,False,0,기초
S20250000058,[2026 내신만점 수능특강] 손은정의 화학Ⅱ,손은정,화학II,"학습단계:학교시험대비
수준:기초",3,고3,EBS,False,0,기초
S20240000965,[2026 수능특강] 서인혜의 지구과학Ⅰ - 고난도,서인혜,지구과학Ι,"강좌범위:지구과학 Ⅰ전 범위
강좌특징:다양한 문제풀이 방식을 알려주는 강좌
전략적으로 접근하는 강좌
매력적인 오답 분석 강좌",4,고3,EBS,False,0,발전
S20240000859,[2026 수능 기출의 미래] 지구과학Ⅰ,양은혜,지구과학Ι,"학습단계:문제풀이
수준:기본",3,"고2,고3",EBS,False,0,기본
S20250000055,[2026 내신만점 수능특강] 서인혜의 지구과학Ⅰ,서인혜,지구과학Ι,"학습단계:학교시험대비
수준:기초",2,고3,EBS,False,0,기초
S20240000963,[2026 수능특강] 양은혜의 지구과학Ⅰ - 전 문항,양은혜,지구과학Ι,"강좌범위:수능특강 지구과학Ⅰ 전범위
강좌특징:꼼꼼한 강좌
다양한 문제풀이 방식을 알려주는 강좌
쉽게 설명하는 강좌",964,고3,EBS,False,0,기본
S20250000056,[2026 내신만점 수능특강] 이윤희 지구과학Ⅱ,이윤희,지구과학II,"학습단계:학교시험대비
수준:기초",41,고3,EBS,False,0,기초
S20250000051,[2026 내신만점 수능특강] 정성범의 물리학Ⅰ,정성범,물리학Ι,"강좌범위:물리학Ⅰ 전범위
강좌특징:요점을 확실하게 알려주는 강좌
핵심을 확실하게 알려주는 강좌
깔끔한 정리형 강좌",2,고3,EBS,False,0,기초
S20250000052,[2026 내신만점 수능특강] 임지호의 물리학Ⅱ,임지호,물리학II,"강좌범위:물리학II 전범위
강좌특징:쉽게 설명하는 강좌
출제자의 입장에서 접근하는 강좌
재미있는 강좌",6,고3,EBS,False,0,기초
